#wavelength [nm],"Tavg, 0.0 deg AOI"
496.5,5.03E-12
496.51,5.06E-12
496.52,5.09E-12
496.53,5.13E-12
496.54,5.16E-12
496.55,5.19E-12
496.56,5.23E-12
496.57,5.26E-12
496.58,5.29E-12
496.59,5.33E-12
496.6,5.36E-12
496.61,5.40E-12
496.62,5.43E-12
496.63,5.47E-12
496.64,5.50E-12
496.65,5.54E-12
496.66,5.58E-12
496.67,5.61E-12
496.68,5.65E-12
496.69,5.69E-12
496.7,5.73E-12
496.71,5.76E-12
496.72,5.80E-12
496.73,5.84E-12
496.74,5.88E-12
496.75,5.92E-12
496.76,5.96E-12
496.77,6.00E-12
496.78,6.04E-12
496.79,6.08E-12
496.8,6.12E-12
496.81,6.16E-12
496.82,6.20E-12
496.83,6.24E-12
496.84,6.28E-12
496.85,6.32E-12
496.86,6.37E-12
496.87,6.41E-12
496.88,6.45E-12
496.89,6.50E-12
496.9,6.54E-12
496.91,6.58E-12
496.92,6.63E-12
496.93,6.67E-12
496.94,6.72E-12
496.95,6.77E-12
496.96,6.81E-12
496.97,6.86E-12
496.98,6.91E-12
496.99,6.95E-12
497,7.00E-12
497.01,7.05E-12
497.02,7.10E-12
497.03,7.15E-12
497.04,7.20E-12
497.05,7.24E-12
497.06,7.30E-12
497.07,7.35E-12
497.08,7.40E-12
497.09,7.45E-12
497.1,7.50E-12
497.11,7.55E-12
497.12,7.60E-12
497.13,7.66E-12
497.14,7.71E-12
497.15,7.77E-12
497.16,7.82E-12
497.17,7.88E-12
497.18,7.93E-12
497.19,7.99E-12
497.2,8.04E-12
497.21,8.10E-12
497.22,8.16E-12
497.23,8.22E-12
497.24,8.27E-12
497.25,8.33E-12
497.26,8.39E-12
497.27,8.45E-12
497.28,8.51E-12
497.29,8.57E-12
497.3,8.63E-12
497.31,8.70E-12
497.32,8.76E-12
497.33,8.82E-12
497.34,8.88E-12
497.35,8.95E-12
497.36,9.01E-12
497.37,9.08E-12
497.38,9.14E-12
497.39,9.21E-12
497.4,9.28E-12
497.41,9.35E-12
497.42,9.41E-12
497.43,9.48E-12
497.44,9.55E-12
497.45,9.62E-12
497.46,9.69E-12
497.47,9.76E-12
497.48,9.83E-12
497.49,9.91E-12
497.5,9.98E-12
497.51,1.01E-11
497.52,1.01E-11
497.53,1.02E-11
497.54,1.03E-11
497.55,1.04E-11
497.56,1.04E-11
497.57,1.05E-11
497.58,1.06E-11
497.59,1.07E-11
497.6,1.07E-11
497.61,1.08E-11
497.62,1.09E-11
497.63,1.10E-11
497.64,1.11E-11
497.65,1.12E-11
497.66,1.12E-11
497.67,1.13E-11
497.68,1.14E-11
497.69,1.15E-11
497.7,1.16E-11
497.71,1.17E-11
497.72,1.18E-11
497.73,1.19E-11
497.74,1.19E-11
497.75,1.20E-11
497.76,1.21E-11
497.77,1.22E-11
497.78,1.23E-11
497.79,1.24E-11
497.8,1.25E-11
497.81,1.26E-11
497.82,1.27E-11
497.83,1.28E-11
497.84,1.29E-11
497.85,1.30E-11
497.86,1.31E-11
497.87,1.32E-11
497.88,1.33E-11
497.89,1.34E-11
497.9,1.35E-11
497.91,1.36E-11
497.92,1.37E-11
497.93,1.38E-11
497.94,1.39E-11
497.95,1.40E-11
497.96,1.42E-11
497.97,1.43E-11
497.98,1.44E-11
497.99,1.45E-11
498,1.46E-11
498.01,1.47E-11
498.02,1.48E-11
498.03,1.50E-11
498.04,1.51E-11
498.05,1.52E-11
498.06,1.53E-11
498.07,1.54E-11
498.08,1.56E-11
498.09,1.57E-11
498.1,1.58E-11
498.11,1.59E-11
498.12,1.61E-11
498.13,1.62E-11
498.14,1.63E-11
498.15,1.65E-11
498.16,1.66E-11
498.17,1.67E-11
498.18,1.69E-11
498.19,1.70E-11
498.2,1.71E-11
498.21,1.73E-11
498.22,1.74E-11
498.23,1.76E-11
498.24,1.77E-11
498.25,1.79E-11
498.26,1.80E-11
498.27,1.82E-11
498.28,1.83E-11
498.29,1.85E-11
498.3,1.86E-11
498.31,1.88E-11
498.32,1.89E-11
498.33,1.91E-11
498.34,1.92E-11
498.35,1.94E-11
498.36,1.96E-11
498.37,1.97E-11
498.38,1.99E-11
498.39,2.00E-11
498.4,2.02E-11
498.41,2.04E-11
498.42,2.06E-11
498.43,2.07E-11
498.44,2.09E-11
498.45,2.11E-11
498.46,2.13E-11
498.47,2.14E-11
498.48,2.16E-11
498.49,2.18E-11
498.5,2.20E-11
498.51,2.22E-11
498.52,2.24E-11
498.53,2.26E-11
498.54,2.28E-11
498.55,2.30E-11
498.56,2.31E-11
498.57,2.33E-11
498.58,2.35E-11
498.59,2.38E-11
498.6,2.40E-11
498.61,2.42E-11
498.62,2.44E-11
498.63,2.46E-11
498.64,2.48E-11
498.65,2.50E-11
